profile_id,notional_usd,expected_slippage_bps
liquid_public_perp,100000,2
liquid_public_perp,1000000,8
liquid_public_perp,5000000,25
liquid_public_perp,20000000,90
mid_cap_public,100000,6
mid_cap_public,1000000,35
mid_cap_public,4000000,140
mid_cap_public,10000000,420
thin_smallcap,100000,25
thin_smallcap,500000,120
thin_smallcap,900000,260
thin_smallcap,3000000,950
late_stage_secondary,100000,80
late_stage_secondary,300000,260
late_stage_secondary,600000,600
late_stage_secondary,2000000,2400
synth_private_a,100000,180
synth_private_a,350000,700
synth_private_a,1000000,2200
synth_private_a,3000000,6500
